Signatur;EXEMPLARNR;Kurztitel;GTV;ISBN
P 1030e - 15;1608128001;"Cermanovic-Kuzmanovic, A. ; Srejovic, Dragoslav ; Markovic, C.: Nécropoles romaines à Komini près de Pljevlja / A. Cermanovic-Kuzmanovic ; Dragoslav Srejovic ; C. Markovic (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 15 = Y 139 - Y 148";
P 1030e - 16;1608129001;"Kolsek, Vera: Les Nécropoles de Celeia et de Sempeter / Vera Kolsek (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 16 = Y 149 - Y 158";
P 1030e - 17;1608131001;"Nad, Sandor: La Nécropole de Mecka / Sandor Nad (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 17 = Y 159 - Y 168";
P 1030e - 18;1608132001;"Svoljsak, Drago: Tolmin : la nécropole de l'age du fer ancien / Drago Svoljsak (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 18 =  Y 169 - Y 178";
P 1030e - 19;1608133001;"Mikl Curk, Iva: La nécropole de Formin / par Iva Mikl Curk (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica; Jugoslavija ; Fasc. 19 = Y 179 - Y 188";
P 1030e - 2;1608104001;"Garasanin, Milutin V. ; Garasanin, Draga: Sépultures de l'âge des metaux en Serbie / Milutin V. Garasanin ; Draga Garasanin (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 2 = Y 11-20";
P 1030e - 20;1608135001;"Belosevic, Janko: La nécropole paléocroate Stankovci-Benkovac / Janko Belosevic (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 20 = Y 189 - Y 198 ";
P 1030e - 21;1608136001;"Valic, Andrej: La nécropole slave à Kranj / Andrej Valic (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 21 = Y 199 - Y 208";
P 1030e - 22;1608137001;"Marjanovic-Vujovic, Gordana: Nécropole médiévale Vinéca / Gordana Marjanovic-Vujovic (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica: Jugoslavija ; Fasc. 22 = Y 209 - Y 218";3-7749-1820-1
P 1030e - 23;1608154001;"Marjanovic-Vujovic, Gordana: Nécropole médiévale Trnjane / Gordana Marjanovic-Vujovic (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 23 = Y 219 - Y 228";3-7749-1821-X
P 1030e - 24;1608143001;"Belosevic, Janko: La nécropole paléocroate Nin -Zdrijac / Janko Belosevic (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 24 =  Y 229 - Y 238";3-7749-1822-8
P 1030e - 25;1608147001;"Jovanovic, Vojislav ; Vuksanovic, Ljiljana: Maticane : nécropole sud-slave de Xe et XIe siècle / Vojislav Jovanovic ; Ljiljana Vuksanovic (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 25 = Y 239 - Y 248";3-7749-1931-3
P 1030e - 26;1608149001;"Gregl, Zoran: La necropole romaine a Zagreb-Stenjevec / Zoran Gregl (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 26 = Y 249 - Y 258";
P 1030e - 27;1608151001;"Knez, Tone: La nécropole de Beletov vrt,  Novo Mesto / par Tone Knez (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 27 = Y 259 - Y 268";
P 1030e - 28;1608153001;"Belosevic, Janko: La nécropole paléocroate Kasic, Maklinovo brdo / Janko Belosevic (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 28 = Y 269 - Y 278";
P 1030e - 3;1608105001;"Covic, Borivoj: Donja Dolina : nécropole de l'age du fer / Borivoj Covic (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; 3 = Y 21 - 30";
P 1030e - 4;1608106001;"Batovic, Sime: Sepultures de la peuplade illyrienne des liburnes / Sime Batovic ; Réd.: J. Kastelic, M. Garasanin (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 4 = Y 31 - Y 40";
P 1030e - 5;1608107001;"Kromer, Karl ; Gabrovec, Stane: L' Art des situles dans les sépultures hallstattiennes en Slovénie / Karl Kromer ; Stane Gabrovec (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 5 = Y 41 - 46";
P 1030e - 6;1608108001;"Todorovic, Jovan: Rospi Cuprija : Nécropole de l'époque de la Tène à Beograd / Jovan Todorovic (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 6  = Y 47 - Y 56";
P 1030e - 7;1608111001;"Dimitrijevic, Danica: Le Cimetière gépide à 'Kormadin' près deJakovo en Srem, Serbie / Danica Dimitrijevic ; Red. M. Garasanin et J. Kastelic (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 7 = Y 57 - Y 66";
P 1030e - 8;1608113001;"Cermanovic, A. ; Srejovic, Dragoslav ; Velimirovic, O.: La nécropole romaine à Duklja (Doclea) prés de Titograd en Montenegro / A. Cermanovic ; Dragoslav Srejovic ; O. Velimirovic (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 8 = Y 67 - 78";
P 1030e - 9;1608114001;"Drechsler-Bizic, R.: Les tombes des Iapodes préhistoriques à Kompolje / R. Drechsler-Bizic (Inventaria archaeologica : J... ; ...)";"Inventaria archaeologica : Jugoslavija ; Fasc. 9 =  Y 79 - Y 88";
P 1030f - 1;1596060001;"Abramowicz, Andrzej ; Gupieniec, Anatol ; Mynarska, M.: Haut moyen age / par A. Abramowicz ; A. Gupieniec et M. Mynarska - 1. ed. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 1 = Pl 1 - Pl 10";
P 1030f - 10;1608200001;"Åges des métaux / Halina Anna Zabkiewicz-Koszanska ; E. Kaszewska ; Z. Kaszewski (Inventaria archeologica : Po... ; ...)";"Inventaria archeologica : Pologne ; Fasc. 10 = Pl 55 - Pl 57";
P 1030f - 11;1608205001;"1re période de l'âge du bronze / J. Kostrzewski ; M. Kowianska-Piaszykowa - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 11 = Pl 58 - Pl 63";
P 1030f - 12;1608208001;"Civilisation des amphores sphériques / par S. Nosek (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 12 = Pl 64 - Pl 69";
P 1030f - 13;1608218001;"Néolithique / par L.Gabalowna, T. Wislanski (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 13 = Pl 70 - Pl 76";
P 1030f - 14;1608220001;"Machnik, Jan: Civilisation de la céramique cordée / par J[an] Machnik (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 14 = Pl 70 - Pl 76";
P 1030f - 15;1608222001;"Kempisty, A. ; Okulicz, J.: Période romaine tardive et période des migrations des peuples en Mazovie / par A. Kempisty ; J. Okulicz - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 15 = Pl 88 - Pl 95";
P 1030f - 16;1608223001;"Szydlowska, A.: Civilisation Lusacienne (Br. V - H C) / par A. Szydlowska - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 16 = Pl 96 - Pl 104";
P 1030f - 17;1608224001;"Bronze IV - V - Hallstatt D période romaine / par W. Blaszczyk ... (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 17 = Pl 105 - 110";
P 1030f - 18;1608225001;"Bronze III : période romaine Tardive / par K. Godlowski et A. Kufel-Dzierzgowska - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 18 = Pl 111 - Pl 113";
P 1030f - 19;1608228001;"Bronze IV - V : L` âge du fer / D. Durczewski ; Jozef Marciniak ; H. Rózanska (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 19 = Pl 114 - 120";
P 1030f - 2;1596061001;"Période des migrations des peuples / par A. Abramowicz ... - 1. ed. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 2 = Pl 11- Pl 16";
P 1030f - 20;1608231001;"Dabrowska, Teresa ; Okulicz, J.: La tène III / T. Dabrowska ; J. Okulicz (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 20 = Pl 121 - Pl 125";
P 1030f - 21;1608237001;"Dabrowski, Krzysztof: Période de LaTène III : (Environs de Kalisz) / par K. Dabrowski et E. Kaszewska (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 21 = Pl 126 - Pl 129";
P 1030f - 22;1608246001;"Gajewski, Leszek: Fin du néolithique - début de la période de Hallstatt / par L. Gajewski (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 22 = Pl 130 - 136";
P 1030f - 23;1608248001;"Stankiewicz-Wegrzykowa, A.: Civilisation Lusacienne : Groupe de Haute-Silesie - Petite-Pologne / A. Stankiewicz-Wegrzykowa ; Red.:... - 1. ed (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 23 = Pl 137 - 140";
P 1030f - 24;1608250001;"Gedl, M.: Bronze II - III (Mont.) : civilisation prélusacienne et lusacienne / par M. Gedl - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 24 = Pl 141 - 150";
P 1030f - 25;;Pologne. 25. Le Néolithique et le bronze ancien dans le sud-est de la Pologne. - 1970. - Taf. 151 - 159;;
P 1030f - 26;1608259001;"Gedl, Marek: Hallstatt C - civilisation lusacienne : (sous-groupe de Glubczyce (Silésie) / par M. Gedl - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 26 = Pl 160 - 164";
P 1030f - 27;1608260001;"Kaszewska, E. ; Rajewski, Z. A. ; Zabkiewicz-Koszanska, Halina Anna: Bronze II/III : Période romaine / E. Kaszewska ; Z. A. Rajewski ; Halina Anna Zabkiewicz-Koszanska ; Réd.: H. Hensel ;... (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 27 = Pl 165 - 167";
P 1030f - 28;1608261001;"Gedl, Marek: Hallstatt D : la tène A - B civilisations lusacienne et celtique / par M. Gedl - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 28 = Pl 168 - 177";
P 1030f - 29;1608262001;Pologne. 29. Civilisation des coupes en Entonnoir. - 1972. - Taf. 178 - 187;"Inventaria archaeologica : Pologne ; Fasc. 29 = Pl 178 - 187";
P 1030f - 3;1596064001;"Jasnosz, S.: Age du bronze et période de Hallstatt / S. Jasnosz [u.a.] (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 3 = Pl 17 - Pl 24";
P 1030f - 30;1608263001;"Abramowicz, A. N. ; Nadolski, A. ; Poklewski, T.: Tombes d'ecclésiastiques de Tum près de Leczyca  : ( XIIe - XIIIe siècles) / par A. N. Abramowicz ; A.... - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 30 = Pl 188 - 191";
P 1030f - 31;1608264001;"Gedl, M.: Bronze IV - V (Mont.) : civilisation lusacienne (groupe silésien: sous-groupe de Glubczyce) / par M. Gedl - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 31 = Pl 192 - 200";
P 1030f - 32;1608265001;"La Tène III : période romaine, Civilisation de Przeworsk / par E. Kaszewska ... (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 32 = PL 201 - 205 ";
P 1030f - 33;1608266001;"Bronze II - III (Mont.) : civilisation lusacienne : (groupe silésien: sous-groupe de Glubczyce) - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 33 = Pl 206 - 215";
P 1030f - 34;1608273001;"Kufel-Dzierzgowska, A.: Bronze IV (Mont.) : Hallstatt D; civilisation lusacienne (groupe de Pologne centrale) / par A. Kufel-Dzierzgowska - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 34 = Pl 216 - 221";
P 1030f - 35;1608267001;"Kaszewski, Z.: Bronze V (Mont.) : Hallstatt D;  civilisation lusacienne / by Z. Kaszewski ... - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 35 = Pl 222 - 224";
P 1030f - 36;1608268001;"Gedl, Barbara ; Gedl, Marek: Periode romaine : civilisation der Przeworsk / Barbara Gedl ; Marek Gedl - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 36 = Pl 225 - 230";
P 1030f - 37;1608269001;"Gasior, M. ; Kaszewska, E.: Hallstatt D : La tène III / M. Gasior ; E. Kaszewska - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 37 = Pl 231 - 233";
P 1030f - 38;1608270001;"Prinke, A. ; Wislanski, T.: Néolithique civilisation des amphores sphériques / A. Prinke ; T. Wislanski - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 38 = Pl 234 - 239";
P 1030f - 39;1608271001;"Czerniak, L. ; Grygiel, R. ; Tetzlaff, W.: Néolithique civilisations de lengyel, des amphores sphériques et des coupes en Entonnoir / par L. Czerniak... - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 39 = Pl 240 - 246";
P 1030f - 4;1608175001;"Periode romaine / par Andrzej Abramowicz - 1. ed. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 4 = Pl 25 - Pl 31";
P 1030f - 40;1608272001;"Gediga, Boguslaw: Bronze II/III-IV (Mont.) : Civilisation lusacienne / par B. Gediga (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 40 =  PL 247 - 253";
P 1030f - 41;1608275001;"Gedl, Marek: Bronze II-III : Civilisation lusacienne (Groupe Silésien:sous-groupe de Glubczyce) / par M. Gedl - 1. ed (Inventaria archaeologica : P... ; ...)";"Inventaire archaeologica : Pologne ; Fasc. 41 = PL 254 - 263";
P 1030f - 42;1608276001;Pologne. 42. Le Néolithique en Silésie. - 1979. - Taf. 264 - 269;"Inventaria archaeologica : Pologne ; Fasc. 42 = PL 264 - 269 ";
P 1030f - 43;1608277001;"Grabarczyk, Tadeusz: Période romaine en Poméranie / par T. Grabarczyk (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 43 = Pl 270 - 272";
P 1030f - 44;1608281001;"Cyrek, Maria ; Cyrek, Krzysztof: La sépulture mésolitique de JanisLawice / par Maria et Krzysztof Cyrek (Inventaria archaeologica : P... ; ...)";"Inventaire archaeologica : Pologne ; Fasc. 44 = PL 273";
P 1030f - 45;1608283001;"Gajewski, L. ; Gurba, J.: Civilisation de Przeworsk dans la région de Lublin / par L. Gajewski et J. Gurba (Inventaria archaeologica : P... ; ...)";"Inventaire archaeologica : Pologne ; Fasc. 45 = PL 274 - 279";
P 1030f - 46;1608286001;"Gajewski, L.: Le néolithique du plateau de Lublin / par L. Gajewski ... - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 46 = Pl 280 - 285";83-01-03011-9
P 1030f - 47;1608288001;"Kaszewska, E. ; Kufel-Dzierzgowska, A.: La tène III civilisation de Przeworsk / par E. Kaszewska et A. Kufel-Dzierzgowska - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 47 = Pl 286 - 289";83-01-03444-0
P 1030f - 48;1608290001;"Dabrowska, Teresa: La Tène III dans le Nord-Est de la Pologne / par Teresa Dabrowska (Inventaria archaeologica : P... ; ...)";"Inventaire archaeologica : Pologne ; Fasc. 48 = Pl 290 - 294";
P 1030f - 49;1608292001;"Jazdzewska, Maria: Cimetière de la tène III et de la période romaine à Siemiechów (Pologne centrale) / Maria Jazdzewska - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 49 = Pl 295 - 301";83-01-04331-8
P 1030f - 5;1608180001;"Kietlinska, A.: Période romaine / A. Kietlinska (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 5 =  Pl 32 - Pl 34";
P 1030f - 50;1608293001;"Kokowski, Andrzej: Période romaine tardive civilisation de Cernjachov / par Andrzej Kokowski - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 50 = Pl 302 - 306";83-01-04498-5
P 1030f - 51;1608295001;"Horbacz, Tadeusz J. ; Oledzki, Marek: Cimetière de la période romaine à Piaski (Pologne centrale) / Tadeusz J. Horbacz ; Marek Oledzki - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 51 = Pl 307 - 312";83-01-04984-7
P 1030f - 52;1608299001;"Gedl, Marek: Bronze II... / par Marek Gedl - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 52 = Pl 313 - 322";83-01-05351-8
P 1030f - 53;1608300001;"Machajewski, Henryk ; Sikorski, Andrzej: La tène III : Période romaine et période des migrations des peuples en Poméranie centrale / par Henryk Machajews... - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ;  Fasc. 53 = Pl 323 - 331";83-01-05825-0
P 1030f - 54;1608302001;"Kokowski, Andrzej ; Koman, Wieslaw: Néolithique et la période romaine aux environs de Hrubieszów, Pologne de l'Est / par Andrzej Kokowski et... - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 54 = Pl 332 - 337";83-01-06209-6
P 1030f - 55;1608303001;"Gedl, Marek ; Pietrzak, Miroslaw: Bronze I - II (Mont.) : dans la Pologne du Nord / par Marek Gedl et Miroslaw Pietrzak - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 55 = Pl 338 - 349";83-01-06487-0
P 1030f - 56;1608304001;"Blajer, Wojciech: Dépôts d'objets de bronze d'origine d'outre-Carpathes, trouvés au sud-est de la Pologne / par Wojciech Blajer - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 56 = Pl 350 - 352";83-01-06825-6
P 1030f - 57;1608305001;"Abramek, Boguslaw ; Gedl, Marek: Bronze I - II (Mont.) et la période romaine / par Boguslaw Abramek et Marek Gedl - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 57 = Pl 353 - 358";83-01-07235-0
P 1030f - 58;1608309001;"Chomentowska, Boleslawa ; Michalski, Jan: Période romaine : Les sépultures du village Zawada, Dép. de Tarnobrzeg / par Boleslawa Chomentowska ; Jan Michalski - 1. éd (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 58 =  Pl 359 - 362 ";83-01-07860-X
P 1030f - 59;1608311001;"Andralojc, Miroslaw: Néolithique : civilisation des amphores sphériques en Cujavie / Miroslaw Andralojc - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica :  Pologne ; Fasc. 59 = Pl 363 - 368";83-01-08048-5
P 1030f - 6;1608183001;"Nosek, Stefan: Période romaine / par S. Nosek - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 6 = Pl 35 - Pl 36";
P 1030f - 60;1608312001;"Pietrzak, Miroslaw ; Tuszynska, Malgorzata: Période romaine tardive (Pruszcz Gdanski 7) / Miroslaw Pietrzak ; Malgorzata Tuszynska - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 60 = Pl 369 - 373";83-01-08437-5
P 1030f - 61;1608313001;"Borodziej, Teresa ; Kokowski, Andrzej ; Mazurek, Wojciech: Période romaine tardive et début de la période des migrations des peuples (groupe de MaslomÑecz) - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 61 = Pl 374 - 378";83-01-08783-8
P 1030f - 62;1608314001;"Blajer, Wojciech: Dépôts d'objets en bronze, type dit ""Sieniawa"" / par Wojciech Blajer - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 62 = Pl 379 - 384";83-01-09114-2
P 1030f - 63;1608315001;"Kokowski, Andrzej ; Scibor, Józef: Tombe princière de Sandomierz-Krakówka : période romaine précoce / Andrzej Kokowski ; Józef Scibor - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 63 = Pl 385";83-01-09489-3
P 1030f - 64;1608316001;"Jazdzewska, Maria: Cimetière de la tène III et de la période romaine à Siemiechów (suite) / Maria Jazdzewska - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 64 = Pl 386 - 392";83-01-09903-8
P 1030f - 7;1608190001;"Smigielski, Wojciech ; Durczewski, D.: Fin de l'âge du bronze et période de Hallstatt / Wojciech Smigielski ; D. Durczewski - 1. éd. (Inventaria archaeolgica : Po... ; ...)";"Inventaria archaeolgica : Pologne ; Fasc. 7 =  PL 37 - PL 40";
P 1030f - 8;1608196001;"Période de Hallstatt / par W. Blaszczyk, H. A. Zabkiewicz-Koszanska (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 8 = Pl 41 - Pl 46";
P 1030f - 9;1608199001;"Fin de l'age du bronze - age du fer / par A. Abramowicz ... - 1. éd. (Inventaria archaeologica : P... ; ...)";"Inventaria archaeologica : Pologne ; Fasc. 9 = Pl 47 - Pl 54";
